player,first,last,name,position1
LF-0650,Xavier,Grimble,Xavier Grimble,TE
JM-4175,Demetrius,Harris,Demetrius Harris,TE
JU-0400,Hunter,Henry,Hunter Henry,TE
JK-0775,Hale,Hentges,Hale Hentges,TE
JC-4300,Chris,Herndon,Chris Herndon,TE
JT-1775,Jeff,Heuerman,Jeff Heuerman,TE
LJ-0150,Tyler,Higbee,Tyler Higbee,TE
JM-2900,Josh,Hill,Josh Hill,TE
KH-2025,T.J.,Hockenson,T.J. Hockenson,TE
JS-4550,Jacob,Hollister,Jacob Hollister,TE
JN-0350,J.P.,Holtz,J.P. Holtz,TE
JR-2075,Austin,Hooper,Austin Hooper,TE
JA-0275,Jesper,Horsted,Jesper Horsted,TE
KA-0650,O.J.,Howard,O.J. Howard,TE
KB-1225,Tanner,Hudson,Tanner Hudson,TE
JR-3280,Hayden,Hurst,Hayden Hurst,TE
KS-2350,Ryan,Izzo,Ryan Izzo,TE
JA-1087,Jesse,James,Jesse James,TE
JD-1650,Blake,Jarwin,Blake Jarwin,TE
JO-0550,Charles,Jones,Charles Jones,TE
KH-2075,Travis,Kelce,Travis Kelce,TE
JS-4750,Lance,Kendricks,Lance Kendricks,TE
JM-5275,George,Kittle,George Kittle,TE
JA-1025,Dawson,Knox,Dawson Knox,TE
JA-0425,Ben,Koyack,Ben Koyack,TE
LK-0200,Tyler,Kroft,Tyler Kroft,TE
JW-1050,Matt,LaCosse,Matt LaCosse,TE
JJ-0575,Marcedes,Lewis,Marcedes Lewis,TE
JG-1850,Chris,Manhertz,Chris Manhertz,TE
LF-0200,Vance,McDonald,Vance McDonald,TE
JG-0650,Foster,Moreau,Foster Moreau,TE
JF-1250,Johnny,Mundt,Johnny Mundt,TE
JM-6775,Isaac,Nauta,Isaac Nauta,TE
JW-5475,David,Njoku,David Njoku,TE
KH-2850,Nick,O'Leary,Nick O'Leary,TE
JB-3275,James,O'Shaughnessy,James O'Shaughnessy,TE
JO-0562,Josh,Oliver,Josh Oliver,TE
JF-3037,Greg,Olsen,Greg Olsen,TE
JP-2075,Josh,Perkins,Josh Perkins,TE
KB-0150,MyCole,Pruitt,MyCole Pruitt,TE
JR-3250,Kyle,Rudolph,Kyle Rudolph,TE
JH-3625,Drew,Sample,Drew Sample,TE
JS-5475,Eric,Saubert,Eric Saubert,TE
JS-6787,Dalton,Schultz,Dalton Schultz,TE
KC-2375,Ricky,Seals-Jones,Ricky Seals-Jones,TE
JM-4162,Adam,Shaheen,Adam Shaheen,TE
KD-1462,Scott,Simonson,Scott Simonson,TE
JG-2450,Jonnu,Smith,Jonnu Smith,TE
JR-1950,Kaden,Smith,Kaden Smith,TE
JE-0100,Lee,Smith,Lee Smith,TE
JH-5125,Irv,Smith Jr.,Irv Smith Jr.,TE
JS-4212,Durham,Smythe,Durham Smythe,TE
JW-3325,Jeremy,Sprinkle,Jeremy Sprinkle,TE
JH-4250,Jace,Sternberger,Jace Sternberger,TE
JH-1150,Luke,Stocker,Luke Stocker,TE
JF-1900,Geoff,Swaim,Geoff Swaim,TE
KC-2350,Tommy,Sweeney,Tommy Sweeney,TE
LT-0862,Tyrone,Swoopes,Tyrone Swoopes,TE
JH-3230,Ian,Thomas,Ian Thomas,TE
JJ-0587,Jordan,Thomas,Jordan Thomas,TE
JH-4085,Logan,Thomas,Logan Thomas,TE
JJ-4700,Levine,Toilolo,Levine Toilolo,TE
JH-5350,Eric,Tomlinson,Eric Tomlinson,TE
KH-0525,Robert,Tonyan Jr.,Robert Tonyan Jr.,TE
KB-0350,Ross,Travis,Ross Travis,TE
JO-0150,C.J.,Uzomah,C.J. Uzomah,TE
JM-1550,Jason,Vander Laan,Jason Vander Laan,TE
KC-1550,Nick,Vannett,Nick Vannett,TE
JW-6560,Clive,Walford,Clive Walford,TE
JA-0450,Delanie,Walker,Delanie Walker,TE
JW-6000,Darren,Waller,Darren Waller,TE
JW-5650,Benjamin,Watson,Benjamin Watson,TE
JW-5637,Maxx,Williams,Maxx Williams,TE
JH-1350,Luke,Willson,Luke Willson,TE
JS-0825,Jason,Witten,Jason Witten,TE
JS-0280,Deon,Yelder,Deon Yelder,TE
NO-0150,Davante,Adams,Davante Adams,WR
TJ-2650,Nelson,Agholor,Nelson Agholor,WR
SB-0212,Keenan,Allen,Keenan Allen,WR
QN-0075,Geronimo,Allison,Geronimo Allison,WR
NB-0200,Danny,Amendola,Danny Amendola,WR
TW-1325,Robby,Anderson,Robby Anderson,WR
RE-0400,J.J.,Arcega-Whiteside,J.J. Arcega-Whiteside,WR
SS-1250,Marcell,Ateman,Marcell Ateman,WR
TT-0500,Tavon,Austin,Tavon Austin,WR
MD-0150,Cole,Beasley,Cole Beasley,WR
TP-0675,Odell,Beckham Jr.,Odell Beckham Jr.,WR
MS-0200,Chad,Beebe,Chad Beebe,WR
RG-1650,Josh,Bellamy,Josh Bellamy,WR
VS-0175,Travis,Benjamin,Travis Benjamin,WR
MR-2350,Braxton,Berrios,Braxton Berrios,WR
MG-0175,Christian,Blake,Christian Blake,WR
MH-0050,C.J.,Board,C.J. Board,WR
SM-0425,Kendrick,Bourne,Kendrick Bourne,WR
WG-0750,Tyler,Boyd,Tyler Boyd,WR
TB-2650,Miles,Boykin,Miles Boykin,WR
LH-1950,A.J.,Brown,A.J. Brown,WR
MW-0650,Antonio,Brown,Antonio Brown,WR
PW-1150,Fred,Brown,Fred Brown,WR
RT-1250,Jaron,Brown,Jaron Brown,WR
RF-1400,John,Brown,John Brown,WR
TJ-2350,Marquise,Brown,Marquise Brown,WR
ZE-0100,Ventell,Bryant,Ventell Bryant,WR
PD-0700,Deontay,Burnett,Deontay Burnett,WR
NH-0825,Damiere,Byrd,Damiere Byrd,WR
PC-0050,Deon,Cain,Deon Cain,WR
MM-0050,Antonio,Callaway,Antonio Callaway,WR
TS-3656,Parris,Campbell,Parris Campbell,WR
MB-4075,Austin,Carr,Austin Carr,WR
NF-0175,DeAndre,Carter,DeAndre Carter,WR
MS-0125,D.J.,Chark,D.J. Chark,WR
TF-1450,Randall,Cobb,Randall Cobb,WR
SP-0825,Keelan,Cole,Keelan Cole,WR
MW-2450,Chris,Conley,Chris Conley,WR
MH-0225,Brandin,Cooks,Brandin Cooks,WR
MA-1287,Amari,Cooper,Amari Cooper,WR
TP-1650,Pharoh,Cooper,Pharoh Cooper,WR
MW-0350,Cody,Core,Cody Core,WR
SS-1525,Keke,Coutee,Keke Coutee,WR
TH-2875,Michael,Crabtree,Michael Crabtree,WR
