player,first,last,name,position1
JS-0350,Jason,Sanders,Jason Sanders,K
CS-0250,Cairo,Santos,Cairo Santos,K
AS-0575,Austin,Seibert,Austin Seibert,K
JS-3825,Joey,Slye,Joey Slye,K
RS-3400,Ryan,Succop,Ryan Succop,K
JT-3950,Justin,Tucker,Justin Tucker,K
KV-0250,Kaare,Vedvik,Kaare Vedvik,K
AV-0400,Adam,Vinatieri,Adam Vinatieri,K
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K
BF-0950,Brandon,Allen,Brandon Allen,QB
CN-0500,Josh,Allen,Josh Allen,QB
CH-5000,Kyle,Allen,Kyle Allen,QB
CW-2450,Matt,Barkley,Matt Barkley,QB
BA-0375,David,Blough,David Blough,QB
BW-0700,Blake,Bortles,Blake Bortles,QB
CC-4450,Tim,Boyle,Tim Boyle,QB
CH-3775,Tom,Brady,Tom Brady,QB
BP-0450,Drew,Brees,Drew Brees,QB
CM-1650,Teddy,Bridgewater,Teddy Bridgewater,QB
BP-1375,Jacoby,Brissett,Jacoby Brissett,QB
BB-2250,Derek,Carr,Derek Carr,QB
CD-0650,Kirk,Cousins,Kirk Cousins,QB
BB-2712,Andy,Dalton,Andy Dalton,QB
BS-0825,Chase,Daniel,Chase Daniel,QB
CM-1225,Sam,Darnold,Sam Darnold,QB
CP-2550,Jeff,Driskel,Jeff Driskel,QB
CW-3250,Luke,Falk,Luke Falk,QB
CM-2675,Ryan,Finley,Ryan Finley,QB
CT-1220,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB
CR-0862,Joe,Flacco,Joe Flacco,QB
CC-3950,Nick,Foles,Nick Foles,QB
CU-0150,Jimmy,Garoppolo,Jimmy Garoppolo,QB
BA-0850,Garrett,Gilbert,Garrett Gilbert,QB
CR-1525,Mike,Glennon,Mike Glennon,QB
CB-1750,Jared,Goff,Jared Goff,QB
CJ-2300,Will,Grier,Will Grier,QB
CL-0125,Robert,Griffin,Robert Griffin,QB
CB-1650,Ryan,Griffin,Ryan Griffin,QB
BK-0700,Dwayne,Haskins,Dwayne Haskins,QB
CW-0225,Taysom,Hill,Taysom Hill,QB
BB-1950,Devlin,Hodges,Devlin Hodges,QB
BP-1200,Brian,Hoyer,Brian Hoyer,QB
BS-2950,Brett,Hundley,Brett Hundley,QB
CK-0250,Lamar,Jackson,Lamar Jackson,QB
BC-2325,Daniel,Jones,Daniel Jones,QB
BJ-0950,Case,Keenum,Case Keenum,QB
BH-2300,Drew,Lock,Drew Lock,QB
CH-2950,Patrick,Mahomes,Patrick Mahomes,QB
BH-1225,Eli,Manning,Eli Manning,QB
CW-2150,Sean,Mannion,Sean Mannion,QB
CC-0775,Marcus,Mariota,Marcus Mariota,QB
BK-1050,Baker,Mayfield,Baker Mayfield,QB
AE-0550,A.J.,McCarron,A.J. McCarron,QB
CS-1925,Josh,McCown,Josh McCown,QB
BW-2475,Colt,McCoy,Colt McCoy,QB
CL-0275,Trace,McSorley,Trace McSorley,QB
BH-1900,Gardner,Minshew,Gardner Minshew,QB
CC-2100,Matt,Moore,Matt Moore,QB
CG-1425,Nick,Mullens,Nick Mullens,QB
CW-1425,Kyler,Murray,Kyler Murray,QB
BB-1550,Cam,Newton,Cam Newton,QB
BS-1450,Dak,Prescott,Dak Prescott,QB
CH-3350,Philip,Rivers,Philip Rivers,QB
AH-3650,Aaron,Rodgers,Aaron Rodgers,QB
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB
CB-2775,Josh,Rosen,Josh Rosen,QB
CB-1152,Mason,Rudolph,Mason Rudolph,QB
CJ-2075,Matt,Ryan,Matt Ryan,QB
CD-0300,Matt,Schaub,Matt Schaub,QB
CW-0050,Trevor,Siemian,Trevor Siemian,QB
CE-0175,Matthew,Stafford,Matthew Stafford,QB
CH-0525,Jarrett,Stidham,Jarrett Stidham,QB
CK-0825,Ryan,Tannehill,Ryan Tannehill,QB
BM-0650,Alex,Tanney,Alex Tanney,QB
CB-1130,Tyrod,Taylor,Tyrod Taylor,QB
CC-0750,Mitchell,Trubisky,Mitchell Trubisky,QB
BZ-0100,Deshaun,Watson,Deshaun Watson,QB
BB-2425,Carson,Wentz,Carson Wentz,QB
CM-0175,Russell,Wilson,Russell Wilson,QB
CA-0750,Jameis,Winston,Jameis Winston,QB
CG-1015,Ameer,Abdullah,Ameer Abdullah,RB
DF-2200,Josh,Adams,Josh Adams,RB
DB-5912,Jay,Ajayi,Jay Ajayi,RB
DY-0075,Javorius,Allen,Javorius Allen,RB
DP-2037,C.J.,Anderson,C.J. Anderson,RB
CB-1975,Alex,Armah,Alex Armah,RB
GW-0250,Ryquell,Armstead,Ryquell Armstead,RB
DF-1875,Kalen,Ballage,Kalen Ballage,RB
GB-0750,Peyton,Barber,Peyton Barber,RB
GO-0150,Saquon,Barkley,Saquon Barkley,RB
DD-0687,Kenjon,Barner,Kenjon Barner,RB
ET-0375,Nick,Bawden,Nick Bawden,RB
CS-0050,Andrew,Beck,Andrew Beck,RB
DB-3800,Le'Veon,Bell,Le'Veon Bell,RB
EH-0175,Nick,Bellore,Nick Bellore,RB
DW-1350,Giovani,Bernard,Giovani Bernard,RB
DM-2775,Khari,Blasingame,Khari Blasingame,RB
DS-0875,Brandon,Bolden,Brandon Bolden,RB
GE-0400,Reggie,Bonnafon,Reggie Bonnafon,RB
DM-2787,Devontae,Booker,Devontae Booker,RB
EM-0200,Mike,Boone,Mike Boone,RB
DW-1550,Matt,Breida,Matt Breida,RB
IM-0125,Tony,Brooks-James,Tony Brooks-James,RB
DJ-1850,Malcolm,Brown,Malcolm Brown,RB
GD-0050,Rex,Burkhead,Rex Burkhead,RB
EP-0350,Mike,Burton,Mike Burton,RB
JA-1975,Trenton,Cannon,Trenton Cannon,RB
DH-1362,Chris,Carson,Chris Carson,RB
IS-0250,Tra,Carson,Tra Carson,RB
EE-0400,Nick,Chubb,Nick Chubb,RB
DR-0550,Corey,Clement,Corey Clement,RB
IS-0275,Tarik,Cohen,Tarik Cohen,RB
IN-0050,Tevin,Coleman,Tevin Coleman,RB
DH-1450,James,Conner,James Conner,RB
DC-4275,Dalvin,Cook,Dalvin Cook,RB
ES-0200,Mike,Davis,Mike Davis,RB
DB-4387,Dalyn,Dawkins,Dalyn Dawkins,RB
DK-0430,James,Develin,James Develin,RB
FM-0675,Patrick,DiMarco,Patrick DiMarco,RB
DL-1700,Kenyan,Drake,Kenyan Drake,RB
DD-0681,Chase,Edmonds,Chase Edmonds,RB
JH-5150,Trey,Edmunds,Trey Edmunds,RB
DW-2275,Gus,Edwards,Gus Edwards,RB
DF-1375,Austin,Ekeler,Austin Ekeler,RB
DC-1050,Ezekiel,Elliott,Ezekiel Elliott,RB
JB-5725,Tyler,Ervin,Tyler Ervin,RB
DS-2177,Josh,Ferguson,Josh Ferguson,RB
DA-1650,D.J.,Foster,D.J. Foster,RB
DL-1787,Leonard,Fournette,Leonard Fournette,RB
DL-1825,Devonta,Freeman,Devonta Freeman,RB
GD-0450,Royce,Freeman,Royce Freeman,RB
JG-2687,Wayne,Gallman,Wayne Gallman,RB
ES-0250,Myles,Gaskin,Myles Gaskin,RB
DW-3987,Cullen,Gillaspia,Cullen Gillaspia,RB
ER-0250,Melvin,Gordon,Melvin Gordon,RB
DH-3950,Frank,Gore,Frank Gore,RB
DA-0212,Derrius,Guice,Derrius Guice,RB
IF-0175,Todd,Gurley,Todd Gurley,RB
DG-1287,C.J.,Ham,C.J. Ham,RB
DJ-2275,Damien,Harris,Damien Harris,RB
DS-2275,Darrell,Henderson,Darrell Henderson,RB
DT-1231,Derrick,Henry,Derrick Henry,RB
DH-1050,Brian,Hill,Brian Hill,RB
DO-0600,Justice,Hill,Justice Hill,RB
DQ-0100,Dontrell,Hilliard,Dontrell Hilliard,RB
DH-2450,Jonathan,Hilliman,Jonathan Hilliman,RB
JK-2250,Wes,Hills,Wes Hills,RB
EE-0250,Nyheim,Hines,Nyheim Hines,RB
JM-3475,Travis,Homer,Travis Homer,RB
DJ-0200,Jordan,Howard,Jordan Howard,RB
DW-2350,Gregory,Howell,Gregory Howell,RB
DB-2950,Kareem,Hunt,Kareem Hunt,RB
DC-3550,Carlos,Hyde,Carlos Hyde,RB
CP-0750,Alec,Ingold,Alec Ingold,RB
DS-3137,Mark,Ingram,Mark Ingram,RB
DH-3450,Justin,Jackson,Justin Jackson,RB
DS-3031,Josh,Jacobs,Josh Jacobs,RB
CG-2162,Andy,Janovich,Andy Janovich,RB
DV-0550,D'Ernest,Johnson,D'Ernest Johnson,RB
DH-2325,David,Johnson,David Johnson,RB
DK-0950,Duke,Johnson,Duke Johnson,RB
DW-0500,Jakob,Johnson,Jakob Johnson,RB
DS-3187,Kerryon,Johnson,Kerryon Johnson,RB
JD-2550,Ty,Johnson,Ty Johnson,RB
CM-1500,Aaron,Jones,Aaron Jones,RB
GB-0350,Ronald,Jones,Ronald Jones,RB
