player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
Deshaun Watson,Deshaun,Watson,Deshaun Watson,QB,5.68,20.7,20.14,33.72,36.54,23.3,34.78,0,0,0,0,0.0,0,0,0,0
Mitchell Trubisky,Mitchell,Trubisky,Mitchell Trubisky,QB,0,0,0,0,9.32,9.719999999999999,4.58,9.86,16.880000000000003,14.46,3.08,9.98,21.34,10.86,18.12,7.32
Nick Mullens,Nick,Mullens,Nick Mullens,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Patrick Mahomes,Patrick,Mahomes,Patrick Mahomes,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10.36
Taysom Hill,Taysom,Hill,Taysom Hill,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Baker Mayfield,Baker,Mayfield,Baker Mayfield,QB,0,0,9.84,13.8,17.98,12.32,20.9,14.100000000000001,17.880000000000003,23.64,25.92,13.880000000000003,14.719999999999999,12.119999999999997,24.96,22.04
Josh Allen,Josh,Allen,Josh Allen,QB,5.5600000000000005,13.0,27.74,1.9399999999999995,9.18,5.359999999999999,0,0,0,0,27.299999999999997,28.740000000000002,18.340000000000003,20.759999999999998,11.68,40.46
Josh Rosen,Josh,Rosen,Josh Rosen,QB,0,0,0.6399999999999997,12.5,11.5,7.6,3.16,19.28,8.22,14.440000000000001,6.1,9.16,7.9,0.08000000000000007,8.38,5.960000000000001
Kyle Allen,Kyle,Allen,Kyle Allen,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.52,26.02
Luke Falk,Luke,Falk,Luke Falk,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Lamar Jackson,Lamar,Jackson,Lamar Jackson,QB,4.859999999999999,0.6,0.0,1.7,1.0,2.2,7.1000000000000005,8.44,1.48,15.899999999999999,20.220000000000002,16.5,18.58,16.740000000000002,17.060000000000002,26.16
Mason Rudolph,Mason,Rudolph,Mason Rudolph,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
Sam Darnold,Sam,Darnold,Sam Darnold,QB,14.82,13.46,2.76,11.48,19.42,18.0,12.04,12.32,1.1600000000000001,0,0,0.0,9.8,21.619999999999997,26.04,7.48
Tim Boyle,Tim,Boyle,Tim Boyle,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
