player,first,last,name,position1,2000-game1,2000-game2,2000-game3,2000-game4,2000-game5,2000-game6,2000-game7,2000-game8,2000-game9,2000-game10,2000-game11,2000-game12,2000-game13,2000-game14,2000-game15,2000-game16,2001-game1,2001-game2,2001-game3,2001-game4,2001-game5,2001-game6,2001-game7,2001-game8,2001-game9,2001-game10,2001-game11,2001-game12,2001-game13,2001-game14,2001-game15,2001-game16,2002-game1,2002-game2,2002-game3,2002-game4,2002-game5,2002-game6,2002-game7,2002-game8,2002-game9,2002-game10,2002-game11,2002-game12,2002-game13,2002-game14,2002-game15,2002-game16,2003-game1,2003-game2,2003-game3,2003-game4,2003-game5,2003-game6,2003-game7,2003-game8,2003-game9,2003-game10,2003-game11,2003-game12,2003-game13,2003-game14,2003-game15,2003-game16,2004-game1,2004-game2,2004-game3,2004-game4,2004-game5,2004-game6,2004-game7,2004-game8,2004-game9,2004-game10,2004-game11,2004-game12,2004-game13,2004-game14,2004-game15,2004-game16,2005-game1,2005-game2,2005-game3,2005-game4,2005-game5,2005-game6,2005-game7,2005-game8,2005-game9,2005-game10,2005-game11,2005-game12,2005-game13,2005-game14,2005-game15,2005-game16,2006-game1,2006-game2,2006-game3,2006-game4,2006-game5,2006-game6,2006-game7,2006-game8,2006-game9,2006-game10,2006-game11,2006-game12,2006-game13,2006-game14,2006-game15,2006-game16,2007-game1,2007-game2,2007-game3,2007-game4,2007-game5,2007-game6,2007-game7,2007-game8,2007-game9,2007-game10,2007-game11,2007-game12,2007-game13,2007-game14,2007-game15,2007-game16,2008-game1,2008-game2,2008-game3,2008-game4,2008-game5,2008-game6,2008-game7,2008-game8,2008-game9,2008-game10,2008-game11,2008-game12,2008-game13,2008-game14,2008-game15,2008-game16,2009-game1,2009-game2,2009-game3,2009-game4,2009-game5,2009-game6,2009-game7,2009-game8,2009-game9,2009-game10,2009-game11,2009-game12,2009-game13,2009-game14,2009-game15,2009-game16,2010-game1,2010-game2,2010-game3,2010-game4,2010-game5,2010-game6,2010-game7,2010-game8,2010-game9,2010-game10,2010-game11,2010-game12,2010-game13,2010-game14,2010-game15,2010-game16,2011-game1,2011-game2,2011-game3,2011-game4,2011-game5,2011-game6,2011-game7,2011-game8,2011-game9,2011-game10,2011-game11,2011-game12,2011-game13,2011-game14,2011-game15,2011-game16,2012-game1,2012-game2,2012-game3,2012-game4,2012-game5,2012-game6,2012-game7,2012-game8,2012-game9,2012-game10,2012-game11,2012-game12,2012-game13,2012-game14,2012-game15,2012-game16,2013-game1,2013-game2,2013-game3,2013-game4,2013-game5,2013-game6,2013-game7,2013-game8,2013-game9,2013-game10,2013-game11,2013-game12,2013-game13,2013-game14,2013-game15,2013-game16,2014-game1,2014-game2,2014-game3,2014-game4,2014-game5,2014-game6,2014-game7,2014-game8,2014-game9,2014-game10,2014-game11,2014-game12,2014-game13,2014-game14,2014-game15,2014-game16,2015-game1,2015-game2,2015-game3,2015-game4,2015-game5,2015-game6,2015-game7,2015-game8,2015-game9,2015-game10,2015-game11,2015-game12,2015-game13,2015-game14,2015-game15,2015-game16,2016-game1,2016-game2,2016-game3,2016-game4,2016-game5,2016-game6,2016-game7,2016-game8,2016-game9,2016-game10,2016-game11,2016-game12,2016-game13,2016-game14,2016-game15,2016-game16,2017-game1,2017-game2,2017-game3,2017-game4,2017-game5,2017-game6,2017-game7,2017-game8,2017-game9,2017-game10,2017-game11,2017-game12,2017-game13,2017-game14,2017-game15,2017-game16,2018-game1,2018-game2,2018-game3,2018-game4,2018-game5,2018-game6,2018-game7,2018-game8,2018-game9,2018-game10,2018-game11,2018-game12,2018-game13,2018-game14,2018-game15,2018-game16,2019-game1,2019-game2,2019-game3,2019-game4,2019-game5,2019-game6,2019-game7,2019-game8,2019-game9,2019-game10,2019-game11,2019-game12,2019-game13,2019-game14,2019-game15,2019-game16
Josh Lambo,Josh,Lambo,Josh Lambo,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,2,14,11,8,9,10,7,5,7,5,3,6,10,0,9,8,11,11,7,13,17,1,13,7,3,3,4,4,6,9,10,13,6,7,7,10,14,9,6,5,5,10,11,0,0,0,8,7,7,13,2,1,1,16,10,12,3,6,1,0,0,0,8,7,10,15,9,6,13,12,3,1,9,5,4,9,7,16
Ty Long,Ty,Long,Ty Long,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,16,0,0,0,0,0,0,0,0,0,0,0,0
Wil Lutz,Wil,Lutz,Wil Lutz,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,8,8,5,13,3,16,12,5,8,7,8,10,12,12,9,14,12,10,11,9,10,7,13,17,10,7,5,7,13,7,9,6,8,15,16,8,6,16,11,17,12,7,4,8,7,8,2,15,12,3,14,7,8,10,7,10,11,11,17,13,10,9,6
Brett Maher,Brett,Maher,Brett Maher,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,15,12,21,6,2,9,13,7,8,13,0,11,4,5,7,7,4,6,14,15,15,6,9,10,1,6,0,0,0
Chase McLaughlin,Chase,McLaughlin,Chase McLaughlin,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,10,5,12,7,14,11,1,8,10,0,0,0,0,0
Brandon McManus,Brandon,McManus,Brandon McManus,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,13,7,6,5,3,11,1,7,0,0,0,0,0,18,9,7,12,12,14,11,6,1,5,6,5,13,3,0,0,3,15,5,9,12,8,9,9,11,13,10,9,4,3,6,6,6,10,11,4,7,15,10,6,2,3,14,6,3,6,0,0,13,8,2,13,4,8,10,5,6,5,7,6,2,12,2,3,10,7,4,6,10,13,0,7,7,13,4,15,8,3,9,14
Jason Myers,Jason,Myers,Jason Myers,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,6,7,7,2,4,12,13,13,15,3,10,6,0,0,13,2,6,14,5,11,2,2,10,9,3,5,13,10,19,10,12,5,15,8,7,6,0,0,0,0,0,0,0,0,0,0,12,9,5,6,11,27,7,5,9,6,9,19,10,4,8,4,3,4,3,9,7,8,10,12,8,11,5,13,6,6,9,3
Mike Nugent,Mike,Nugent,Mike Nugent,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,3,2,6,2,8,3,15,3,14,10,3,13,0,5,6,4,4,8,7,8,5,17,8,7,17,7,11,10,0,2,9,7,2,7,9,12,3,8,13,4,17,13,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,8,7,0,0,0,0,0,0,0,0,0,0,0,8,16,10,8,7,8,2,3,5,0,0,0,0,0,0,0,10,11,6,12,7,10,11,6,6,6,12,1,15,9,12,12,7,10,9,9,8,7,6,13,7,4,12,8,0,0,0,0,3,9,4,7,9,11,12,7,10,5,12,6,6,2,6,10,17,6,7,5,15,9,7,4,10,9,2,3,14,14,5,6,9,6,4,4,10,11,13,7,7,8,7,15,9,6,0,0,12,10,5,19,2,5,7,3,8,0,6,14,6,0,0,0,16,4,1,11,9,5,2,6,0,0,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0
Cody Parkey,Cody,Parkey,Cody Parkey,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,15,3,10,10,10,8,9,8,21,15,2,11,6,10,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,9,5,9,4,1,3,7,4,8,9,6,0,0,15,0,5,9,7,0,5,3,8,5,7,10,11,8,4,0,11,6,12,15,4,8,6,12,2,11,6,9,7,6,2,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Pineiro,Eddy,Pineiro,Eddy Pineiro,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,7,10,3,6,10,2,2,1,7,6,7,7,4,13
Matt Prater,Matt,Prater,Matt Prater,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,10,17,13,5,1,7,10,6,5,10,6,5,12,1,9,9,12,5,9,10,1,5,5,3,15,15,4,16,10,6,7,7,7,14,5,11,2,4,7,2,11,7,0,0,0,0,8,6,2,5,4,6,4,13,5,5,11,10,11,5,2,3,5,3,13,16,3,5,10,8,12,12,5,7,15,10,11,9,7,13,17,12,18,5,10,9,4,11,7,5,17,9,14,12,7,6,11,10,8,11,12,11,10,8,2,8,0,0,0,0,4,4,0,5,6,13,7,4,9,13,10,14,2,5,0,0,8,8,12,8,6,7,9,8,15,9,12,18,10,7,3,8,7,8,19,6,6,9,18,13,9,11,13,2,7,9,5,9,5,10,14,6,7,16,2,9,6,10,4,10,6,1,11,8,11,1,9,15,21,7,9,6,9,3,11,8,1,6,5,11
Aldrick Rosas,Aldrick,Rosas,Aldrick Rosas,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,2,14,1,7,9,6,4,7,4,5,0,6,0,10,7,10,4,14,7,6,7,9,10,12,15,10,10,10,0,5,2,6,6,4,2,3,2,12,1,2,8,5,4,5,5
Jason Sanders,Jason,Sanders,Jason Sanders,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,4,1,6,14,3,13,8,14,6,3,4,5,1,5,6,6,4,4,3,2,6,13,2,6,7,24,9,8,9,0
Cairo Santos,Cairo,Santos,Cairo Santos,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,4,11,6,13,12,6,5,6,8,4,2,8,13,14,10,6,2,27,5,5,11,9,21,9,13,2,5,11,6,0,10,15,6,2,9,10,13,15,13,5,8,3,3,5,9,13,6,9,6,3,2,0,0,0,0,0,0,0,0,0,0,0,9,11,5,10,6,2,6,9,9,0,0,0,0,0,0,0,13,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0
Austin Seibert,Austin,Seibert,Austin Seibert,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,7,11,3,2,8,13,8,3,12,7,11,7,4,6
Joey Slye,Joey,Slye,Joey Slye,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,8,13,4,15,4,6,6,3,10,3,10,8,8,4
Ryan Succop,Ryan,Succop,Ryan Succop,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,2,4,9,14,1,8,12,9,2,8,4,9,4,15,3,10,7,11,7,6,7,9,6,7,6,5,11,11,4,1,1,3,5,21,4,4,12,4,4,3,12,4,6,14,7,1,6,5,21,2,6,4,13,9,8,6,10,12,1,9,3,0,4,6,14,9,15,6,5,13,12,5,8,4,9,8,1,7,16,5,1,5,4,11,5,4,1,6,6,3,1,12,9,4,6,2,9,8,4,1,7,10,5,9,1,6,5,0,0,0,4,5,4,9,7,4,10,12,5,13,6,9,10,9,6,6,12,15,16,2,5,21,15,6,7,6,9,7,1,14,11,9,11,9,9,9,16,7,4,10,5,5,8,6,5,8,5,0,2,3,6,7,6,3,0,0,0,0,0,0,0,0,0,0
Justin Tucker,Justin,Tucker,Justin Tucker,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,7,6,9,7,11,6,14,7,11,9,4,6,15,6,9,2,14,8,18,5,11,6,9,10,15,19,3,23,1,9,4,14,11,8,9,14,9,15,6,3,12,15,4,8,1,8,10,15,6,15,6,8,5,20,2,11,10,7,6,2,0,0,9,15,17,8,4,11,14,9,9,6,19,10,13,12,15,4,8,6,1,4,13,12,14,13,9,11,14,17,9,10,11,10,12,7,13,16,10,3,5,3,10,12,11,17,6,8,12,15,11,13,4,6,16,13,12,7,7,12,9,9,6,4,7,17
Kaare Vedvik,Kaare,Vedvik,Kaare Vedvik,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Vinatieri,Adam,Vinatieri,Adam Vinatieri,K,4,13,1,4,4,6,5,11,9,3,10,11,15,6,7,6,5,3,16,4,12,9,9,7,3,5,4,5,11,13,8,8,13,15,9,2,1,4,4,9,16,8,6,8,10,1,6,15,7,12,5,9,5,7,9,14,6,11,9,4,9,3,7,6,10,11,8,7,13,8,9,18,18,9,12,6,5,4,11,3,6,6,13,5,7,8,3,3,9,6,4,10,5,4,7,8,15,14,13,16,9,5,2,10,5,6,11,6,10,14,19,13,11,10,12,8,9,9,7,8,1,7,7,4,6,7,8,4,7,5,3,8,7,2,3,6,6,16,13,4,5,7,8,11,2,11,7,10,7,3,0,0,0,0,0,0,0,0,0,0,6,8,9,4,15,10,13,6,12,4,2,5,13,10,7,14,1,15,8,6,8,6,1,4,1,4,8,6,4,11,14,8,3,14,5,12,12,5,8,13,10,7,8,5,12,5,9,4,3,8,11,14,10,13,16,7,15,3,20,4,13,13,12,9,6,10,16,11,8,9,11,10,19,10,12,7,9,5,1,9,0,1,5,12,11,3,3,17,12,7,15,4,10,4,4,0,12,11,8,12,23,12,10,2,7,7,1,13,5,13,6,7,3,7,5,18,12,11,10,6,11,4,1,8,11,10,0,0,13,3,10,10,8,10,5,10,3,8,10,8,13,4,11,3,5,1,10,6,13,4,14,4,6,7,5,5,0,0,0,0
Greg Zuerlein,Greg,Zuerlein,Greg Zuerlein,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,9,18,7,7,11,1,6,1,7,10,1,2,4,7,14,6,1,4,10,9,8,9,3,8,11,8,5,9,14,3,9,14,7,4,5,4,1,7,2,20,6,10,4,6,11,8,10,6,7,6,5,6,5,17,7,1,3,7,0,0,0,0,10,9,5,15,4,4,4,9,5,3,5,2,3,3,6,0,17,27,4,11,17,17,17,1,18,17,5,10,0,0,0,0,17,13,8,11,12,12,14,8,12,7,14,13,17,5,0,0,15,9,10,13,12,1,15,6,4,5,7,10,4,1,9,8
