player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
A.J. Brown,A.J.,Brown,A.J. Brown,WR,10.0,2.5,0.4,23.4,2.7,2.3,6.2,7.1,8.1,1.7,21.5,4.5,30.6,17.4,16.3,20.4
Ashton Dulin,Ashton,Dulin,Ashton Dulin,WR,0,0,0,0,0,0,0,0,0.0,0,0,1.3,0.0,0.4,0.0,0.0
Alexander Hollins,Alexander,Hollins,Alexander Hollins,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.6
Andy Isabella,Andy,Isabella,Andy Isabella,WR,0.0,0,0.0,0.5,1.1,0,0.8,0,16.8,7.8,0.6,0.0,0.5,0.30000000000000004,0.0,0.0
Deonte Harris,Deonte,Harris,Deonte Harris,WR,0.0,-0.7,4.0,1.0,0.0,0.0,0.0,1.7,0.0,0,0,0.0,2.1,0.1,0.0,1.3
Diontae Johnson,Diontae,Johnson,Diontae Johnson,WR,2.5,1.7,11.8,13.7,2.7,1.4,16.4,0.5,6.4,1.7,2.9,3.0999999999999996,19.6,4.2,14.1,5.4
D.K. Metcalf,D.K.,Metcalf,D.K. Metcalf,WR,8.9,12.1,6.7,0.6,12.4,7.300000000000001,3.3,13.3,23.0,5.0,3.5,5.5,7.8,9.6,0.0,14.1
Deebo Samuel,Deebo,Samuel,Deebo Samuel,WR,1.7000000000000002,15.399999999999999,4.4,0.3,1.9000000000000001,0,10.8,4.0,11.2,13.4,13.0,12.1,10.899999999999999,3.7,11.9,19.5
Darrius Shepherd,Darrius,Shepherd,Darrius Shepherd,WR,0,0,0.0,0.0,0.0,-1.9,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Darius Slayton,Darius,Slayton,Darius Slayton,WR,0,0,8.2,1.3,12.2,3.2,2.8,17.0,0.6,24.1,6.7,4.4,29.4,9.1,0.0,5.0
Damion Willis,Damion,Willis,Damion Willis,WR,3.0,0.6,0,0.8,3.8,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
Greg Dortch,Greg,Dortch,Greg Dortch,WR,0,0,0,0,0,0,0,0.0,0,0,0,0.0,-2.0,0.0,0.0,0.0
Gunner Olszewski,Gunner,Olszewski,Gunner Olszewski,WR,0.0,0.0,-2.0,0.0,0.0,3.4,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Hunter Renfrow,Hunter,Renfrow,Hunter Renfrow,WR,1.3,3.0,2.8,1.8,1.2,1.4,16.8,11.4,4.2,6.6,3.1,0.0,0.0,0.0,18.7,16.2
Ishmael Hyman,Ishmael,Hyman,Ishmael Hyman,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,3.1,0.0
J.J. Arcega-Whiteside,J.J.,Arcega-Whiteside,J.J. Arcega-Whiteside,WR,0.0,0.4,1.0,0,0,0,0,0,0,2.9,4.3,7.5,2.9,0.0,3.9,0.0
Jalen Guyton,Jalen,Guyton,Jalen Guyton,WR,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jakobi Meyers,Jakobi,Meyers,Jakobi Meyers,WR,2.2,0,3.8,0,0.6,5.4,4.7,0.5,0,0.7,7.4,4.6,3.5,0.0,2.5,0.0
